x,y,e1,e2,n
-65,45,-0.00546895900052771,0.01324710536608096,35.0
-65,55,-0.0024977491980473078,0.013011457046214927,25.0
-65,65,-0.00015660992943918124,0.012276558981617065,25.0
-65,75,0.0016958565983824097,0.011274095020238045,20.0
-65,85,0.002903739923611497,0.010327677634832695,15.0
-65,95,0.0038679046246711236,0.009291754815934167,20.0
-55,-95,0.005117616234012451,-0.008560620921149653,20.0
-55,-85,0.004371470693907801,-0.009679272988562894,15.0
-55,-75,0.003367058510684908,-0.01077469181029713,20.0
-55,-65,0.0017196445667686145,-0.012061986205046997,25.0
-55,-55,-0.0005145230671286183,-0.013209845860569462,25.0
-55,-45,-0.00358385674620487,-0.013994253153018547,35.0
-55,-35,-0.007530554511043621,-0.013979454288214715,40.0
-55,-25,-0.01207333813445966,-0.01248955189628682,60.0
-55,-15,-0.016643491899231463,-0.00869070256049329,105.0
-55,-5,-0.01884611477553739,-0.005024808953488792,80.0
-55,5,-0.018846114775537385,0.005024808953488795,80.0
-55,15,-0.01664349189923147,0.008690702560493285,105.0
-55,25,-0.012073338134459658,0.012489551896286826,60.0
-55,35,-0.007530554511043614,0.01397945428821471,40.0
-55,45,-0.0035838567462048655,0.01399425315301855,35.0
-55,55,-0.000514523067128622,0.013209845860569464,25.0
-55,65,0.0017196445667686175,0.012061986205046997,25.0
-55,75,0.0033670585106849115,0.010774691810297127,20.0
-55,85,0.004371470693907803,0.00967927298856289,15.0
-55,95,0.005117616234012455,0.008560620921149651,20.0
-45,-95,0.006305628567330765,-0.007530875436533699,28.0
-45,-85,0.0058164385482096966,-0.008648919624215538,21.0
-45,-75,0.0050833055912452435,-0.009808138401781874,28.0
-45,-65,0.0037727486370806988,-0.011287976851626531,35.0
-45,-55,0.001839749590143682,-0.012800929927756768,35.0
-45,-45,-0.0010784740387482679,-0.014198984089099202,49.0
-45,-35,-0.005242732950897436,-0.015023644324736839,56.0
-45,-25,-0.010655390557705582,-0.014331889114869503,84.0
-45,-15,-0.016816814860580964,-0.010652604386778574,147.0
-45,-5,-0.020057573508795883,-0.006378653947480162,112.0
-45,5,-0.020057573508795872,0.006378653947480168,112.0
-45,15,-0.016816814860580953,0.010652604386778572,147.0
-45,25,-0.01065539055770558,0.014331889114869505,84.0
-45,35,-0.005242732950897433,0.015023644324736839,56.0
-45,45,-0.0010784740387482672,0.0141989840890992,49.0
-45,55,0.001839749590143686,0.012800929927756766,35.0
-45,65,0.0037727486370806975,0.011287976851626531,35.0
-45,75,0.005083305591245245,0.00980813840178187,28.0
-45,85,0.0058164385482097,0.008648919624215537,21.0
-45,95,0.0063056285673307655,0.007530875436533698,28.0
-35,-95,0.007370881531927834,-0.006215616715466665,32.0
-35,-85,0.007149403285772994,-0.007235460826960438,24.0
-35,-75,0.006724138631307296,-0.008342692883930459,32.0
-35,-65,0.005849348530396611,-0.009853296433496781,40.0
-35,-55,0.004408390829193605,-0.011567956742145226,40.0
-35,-45,0.0019738779175936133,-0.013486962354389804,56.0
-35,-35,-0.0019654850502202827,-0.015292074724044586,64.0
-35,-25,-0.007973674486128644,-0.01596437732007902,96.0
-35,-15,-0.01619494345727758,-0.013171003828917994,168.0
-35,-5,-0.021178946618372867,-0.008384957640597077,128.0
-35,5,-0.021178946618372878,0.008384957640597079,128.0
-35,15,-0.01619494345727758,0.013171003828917999,168.0
